file,date,payee,gross,taxcat,tax,net,account,note,status
1789040368146.jpg,2026/08/23,JR西日本 京都駅,5000,非課税,0,5000,旅費交通費,ICカードチャージ,ok
1789040368148.jpg,2026/08/31,京都市交通局,430,課税（内税10%）,39,391,旅費交通費,普通券購入,ok
1789040368150.jpg,2026/08/27,Café Sanbankan 三番館（西宮今津）,2200,課税（内税10%）,200,2000,会議費・接待費,手土産・飲食4個,ok
1789040368144.jpg,要確認,飲食店（京都市東山区・宛名:電子CB農法）,8200,課税（内税10%）,745,7455,会議費・接待費,飲食・日付不鮮明,check
1789040368137.jpg,2026/08/29,京都信用金庫ATM,0,-,0,0,資金移動,お引出し5万円（対象外）,fund
1789037594251.jpg,2026/08/25,京都信用金庫ATM,0,-,0,0,資金移動,お引出し21万円（対象外）,fund
1789037594251b.jpg,2026/08/25,京都信用金庫ATM,0,-,0,0,重複,同一明細の二重撮影（除外）,dup
1789037594249.jpg,2026/08/25,京都信用金庫ATM,0,-,0,0,資金移動,お引出し3万円（対象外）,fund
1789037594248.jpg,2026/08/20,お会計票（CB製品）,27400,-,0,0,売上関連,★経費対象外＝CB製品販売伝票（売上側で処理）,sales
1789037594247.jpg,2026/08/26,スタンドニュー太閤（大阪天王寺・宛名:電子CB農法）,5210,課税（内税10%）,474,4736,会議費・接待費,飲食,ok
1789037594245.jpg,2026/08/27,あびこハウス（大阪住吉・宛名:電子CB農法）,1500,課税（内税10%）,136,1364,会議費・接待費,ミーティング会費,ok
1789037594244.jpg,2026/08/12,PayPay銀行ATM,0,-,0,0,資金移動,資金移動（対象外）,fund
1789037594243.jpg,2026/08/15,JR西日本 京都駅,3000,非課税,0,3000,旅費交通費,ICカードチャージ,ok
1789037594241.jpg,2026/08/16,ダイソー 大阪長瀬店,770,課税（内税10%）,70,700,消耗品費,GaN USB充電器,ok
1789037594240.jpg,2026/08/12,MKタクシー（滋賀エムケイ）,3580,課税（内税10%）,325,3255,旅費交通費,タクシー,ok
1789037594229.jpg,2026/08/11,チケットラボ 大阪梅田,3080,非課税,0,3080,旅費交通費,金券（阪急全線切符8枚）,ok
1789037594239.jpg,2026/07/30,串松屋（クシマツヤ・飲食）,5420,課税（内税10%）,493,4927,会議費・接待費,飲食（カード売上票）,ok
1789037594225.jpg,2026/08/15,ル・クロ・ド・マリアージュ（大阪谷町）,1600,課税（内税10%）,145,1455,会議費・接待費,ランチ8名,ok
1789037594221.jpg,2026/08/15,ル・クロ・ド・マリアージュ,1600,-,0,0,重複,同一取引の二重撮影（除外）,dup
1789037594220.jpg,2026/08/17,京阪電気鉄道 祇園四条駅,2000,非課税,0,2000,旅費交通費,ICカードチャージ,ok
1789037594219.jpg,2026/08/17,ミニストップ 大津大門通店,530,課税（内税10%）,48,482,雑費,★たばこ・経費該当性要確認,check
1789037594214.jpg,2026/08/02,グランカフェ（ヒルトン大阪梅田）,4800,課税（内税10%）,436,4364,会議費・接待費,カフェ4点,ok
1789037594208.jpg,2026/08/04,カフェ・ド・クリエ 阪急三番街店,450,課税（内税10%）,40,410,会議費・接待費,アイス,ok
1789037561449.jpg,2026/08/04,カフェ・ド・クリエ（交通系IC控え）,450,-,0,0,重複,同一取引のIC控え（除外）,dup
1789037561448.jpg,2026/08/04,シアトルズベスト SBC梅田DTタワー店,530,課税（内税10%）,48,482,会議費・接待費,アイスチョコレート,ok
1789037561445.jpg,2026/08/14,串カツまる（大阪阿倍野）,5400,課税（内税10%）,490,4910,会議費・接待費,飲食16点,ok
1789037561444.jpg,2026/08/14,とんかつこおち（大阪上本町）,5280,課税（内税10%）,480,4800,会議費・接待費,飲食（とんかつ・ビール）,ok
1789037561441.jpg,2026/08/16,JR西日本 大阪駅,1000,非課税,0,1000,旅費交通費,ICカードチャージ,ok
1789037561436.jpg,2026/08/13,五椿（大阪梅田・宛名:CB）,7370,課税（内税10%）,670,6700,会議費・接待費,飲食,ok
1789037561435.jpg,2026/08/14,あべのハルカス300／美術館,7600,課税（内税10%）,690,6910,会議費・接待費,展望台美術館セット2名・経費該当性要確認,check
1789037561431.jpg,2026/08/12,楽天銀行ATM,0,-,0,0,資金移動,資金移動（対象外）,fund
1789037561429.jpg,2026/08/13,JR西日本 京都駅,3000,非課税,0,3000,旅費交通費,ICカードチャージ,ok
1789028208878.jpg,2026/07/31,エキナカ酒場しおや本店（大阪梅田）,3710,課税（内税10%）,337,3373,会議費・接待費,飲食（居酒屋7点）,ok
1789028208872.jpg,2026/07/30,ホテルグランヴィア大阪（リバーヘッド）,3915,課税（内税10%）,355,3560,会議費・接待費,カフェ（コーヒー3・接待）,ok
1789028208875.jpg,2026/07/30,ホテルグランヴィア大阪（クレジット売上票）,3915,-,0,0,重複,同一取引のカード控え（除外）,dup
1789028208871.jpg,2026/07/31,MKタクシー（京都エムケイ）,770,課税（内税10%）,70,700,旅費交通費,タクシー,ok
1789028208870.jpg,2026/07/31,京阪電気鉄道 びわ湖浜大津駅,3000,非課税,0,3000,旅費交通費,ICカードチャージ,ok
1789028208863.jpg,2026/07/31,阪急電鉄 大阪梅田駅,5000,非課税,0,5000,旅費交通費,ICカードチャージ,ok
1789028208857.jpg,2026/07/26,JR西日本 京都駅,5000,非課税,0,5000,旅費交通費,ICカードチャージ,ok
1789028095718.jpg,2026/07/27,PayPay銀行ATM,0,-,0,0,資金移動,資金移動（対象外）,fund
1789028208853.jpg,2026/07/26,伏見タクシー（京都）,1100,課税（内税10%）,100,1000,旅費交通費,タクシー,ok
1789028095717.jpg,2026/07/27,楽天銀行ATM,0,-,0,0,資金移動,資金移動（対象外）,fund
1789028095713.jpg,2026/07/27,ローソン 浜大津四丁目店,210,課税（軽減8%）,15,195,会議費・接待費,軽食（カップ麺・要確認）,check
1789028095705.jpg,2026/07/24,なんばうどん（大阪難波）,640,課税（内税10%）,59,581,会議費・接待費,飲食（冷やし中華）,ok
1789028095700.jpg,2026/07/23,PayPay銀行ATM,0,-,0,0,資金移動,資金移動（対象外）,fund
1789028095693.jpg,2026/07/23,大阪メトロ 梅田駅,5000,非課税,0,5000,旅費交通費,ICカードチャージ,ok
1789028095698.jpg,2026/07/23,三井住友銀行ATM,330,課税（内税10%）,30,300,支払手数料,ATM手数料（資金移動は対象外）,ok
1789028095682.jpg,2026/07/24,JR西日本 京都駅,5000,非課税,0,5000,旅費交通費,ICカードチャージ,ok
1789028095678.jpg,2026/07/22,京都信用金庫（振込手数料）,440,課税（内税10%）,40,400,支払手数料,振込手数料（会社振込は対象外・口座情報不記載）,check
1789028095676.jpg,2026/07/22,京都信用金庫ATM,0,-,0,0,資金移動,お引出し（対象外）,fund
1789028095674.jpg,2026/07/23,デイリーヤマザキ 梅田太融寺店,255,課税（軽減8%）,18,237,会議費・接待費,軽食（深夜・要確認）,check
1789028095662.jpg,2026/07/25,天満橋リバーカフェ（大阪）,2233,課税（内税10%）,203,2030,会議費・接待費,飲食（バー2名）,ok
1789024571410.jpg,2026/07/25,蕎麦切りきうち（大阪）,3200,課税（内税10%）,291,2909,会議費・接待費,飲食（蕎麦）,ok
1789024571409.jpg,2026/07/24,プロト（交通系IC支払）,1980,課税（内税10%）,180,1800,会議費・接待費,内容不明・要確認,check
1789024571407.jpg,2026/07/23,ポパイ泉の広場店（ネットカフェ）,2200,課税（内税10%）,200,2000,旅費交通費,ネットカフェ個室6H（宿泊代替）,check
1789024571405.jpg,2026/07/23,大阪信用金庫（支払手数料）,110,課税（内税10%）,10,100,支払手数料,手数料（支払40万円は対象外・口座情報不記載）,ok
1789037561439.jpg,2026-08-14,CAFFE CIAO PRESSO アベノハルカス店,1060,内税10%,96,964,会議費,ドリップ/アイスコーヒー2点・クレジット,済
1789028208876.jpg,2026-07-30,河内長野市役所内 食堂,5423,内税10%,493,4930,会議費・接待費,スタッフ3名との会議費（河内長野市役所内の食堂）,ok
1789028208873.jpg,2026-07-30,梅田 飲食店,3386,外税10%,307,3079,会議費,刺身天ぷら定食等3点・梅田,済
1789028208862.jpg,2026-07-31,On KiTCHEN（河内長野）,2750,内税10%,250,2500,会議費,オムライス等5点,済
1789028208858.jpg,2026-07-26,有限会社わらじや（京都東山）,32200,内税10%,2927,29273,接待交際費,まむし等・人数3（領収証1789028208860と同一取引）,済
1789028208860.jpg,2026-07-26,有限会社わらじや（領収証）,,,,,重複,1789028208858の領収証・金額は計上せず,重複
1789028095709.jpg,2026-07-27,三井住友銀行ATM,,対象外,,,対象外,ATM利用明細・資金移動（残高不記載）,対象外
1789028095707.jpg,2026-07-27,三井住友銀行ATM,,対象外,,,対象外,ATM利用明細・資金移動（残高不記載）,対象外
1789037561383.jpg,2026-08-01,がんこ（株式会社GANKO・大阪淀川）,16324,内税10%,1484,14840,接待交際費,宛名=電子CB農法(株)・飲食,済
1789037561408.jpg,2026-08-01,オードリー上本町（コズミックダイナー）,4906,内税10%,446,4460,会議費,宛名=電子CB農法(株)・飲食,済
1789037561411.jpg,2026-08-01,屋台じゃんじゃん本町店,5000,内税10%,455,4545,会議費,宛名=電子CB農法(株)・飲食・日付不鮮明(8月),済
1789037561413.jpg,2026-08-12,PayPay銀行ATM,,対象外,,,対象外,ATM利用明細・資金移動（残高不記載）,対象外
1789037561416.jpg,2026-08-08,あべのアポロシネマ（きんえい）,1500,内税10%,136,1364,会議費,生ビール2・飲食,済
1789037561417.jpg,2026-08-08,DAISO（広島）,220,内税10%,20,200,消耗品費,滑り止めカバー・吸水ソックス,済
1789037561420.jpg,2026-08-07,FamilyMart四条花見小路店,60,内税10%,5,55,消耗品費,プリント代,済
1789037561421.jpg,2026-08-07,日本郵便（京都祇園郵便局）,860,非課税,0,860,通信費,レターパックライト430×2枚,済
1789037561426.jpg,2026-08-12,京阪電気鉄道,3000,対象外,,3000,旅費交通費,ICカードチャージ・宛名=電子CB農法(株),済
1789028095681.jpg,2026-07-20,京阪電気鉄道,3000,対象外,,3000,旅費交通費,ICカードチャージ,済
1789028095686.jpg,2026-07-23,ユニクロ 梅田,1290,内税10%,117,1173,要確認,Tシャツ1点・事業用途か要確認,要確認
1789028095688.jpg,2026-07-23,あびこハウス(大阪住吉),1500,内税10%,136,1364,会議費,ミーティング会費,済
1789028095696.jpg,2026-07-24,PRONTO アルデ新大阪店,1980,外税10%,180,1800,会議費,宛名=CB・飲食4点,済
1789028095702.jpg,2026-07-23,大阪王将 中百舌鳥店,5080,内税10%,461,4619,会議費,飲食・人数2,済
1789024554424.jpg,2026-07-22,551蓬莱 なんば,1200,内税8%,88,1112,会議費,豚まん・焼売(手土産),済
1789024554425.jpg,2026/07/22,交通系IC 南海なんば駅店,1200,対象外,0,0,対象外,交通系IC支払（ICチャージ計上済のため対象外・利用内容要確認）,check
1789024554426.jpg,2026/07/23,大阪信用金庫ATM,110,課税（内税10%）,10,100,支払手数料,ATM手数料（お引出し50万円は対象外）,ok
1789037594216.jpg,2026/08/08,寿し割烹 魚市 本店（大阪・阿倍野）,14960,課税（内税10%）,1360,13600,接待交際費,会食（要否ご確認）,ok
1789028095691.jpg,2026/07/24,なんば百番（大阪・難波）,5700,課税（内税10%）,519,5181,会議費・接待費,お食事代,ok
1789024554422.jpg,2026/07/22,交通系ICチャージ（券番号5776）,170,非課税,0,170,旅費交通費,ICカードチャージ,ok
1789024554420.jpg,2026/07/22,PayPay銀行ATM,0,対象外,0,0,資金移動,残高照会・資金移動（対象外・残高不記載）,fund
1789024554419.jpg,2026/07/21,叶屋 天神橋本店（大阪）,542,課税（軽減8%）,40,502,消耗品費,にんにく・レジ袋（用途要確認）,check
1789024554418.jpg,2026/07/21,上島珈琲店 阪急三番街店,620,課税（内税10%）,56,564,会議費・接待費,コーヒー（Eat-in）,ok
1789024554421.jpg,2026/07/23,交通系IC メディアカフェポパイ 泉の広場店,2200,対象外,0,0,対象外,交通系IC支払（ネットカフェ利用・チャージ計上済のため対象外・要確認）,check
